t_s,delta_road_rad,yaw_rate_meas_rads,yaw_rate_resid_rads,yaw_rate_pred_rads
43.16,-0.00390132,-0.0315727,0.00295774,-0.029812391617406057
43.18,-0.00390132,-0.0307489,0.00383708,-0.029867956946230186
43.2,-0.00390132,-0.0302431,0.00435795,-0.029883123012450413
43.22,-0.00390132,-0.030963,0.00359862,-0.029843638943497744
43.24,-0.00388137,-0.0305223,0.00381636,-0.029620594807491907
43.26,-0.00379866,-0.0300389,0.00361676,-0.028937733772932718
43.28,-0.00379866,-0.0305545,0.00308213,-0.028918638540335044
43.3,-0.00379651,-0.0301958,0.00336716,-0.028845018935508657
43.32,-0.00369599,-0.0292273,0.00339138,-0.027900751015828694
43.34,-0.00369599,-0.0288,0.0038932,-0.027975191367858927
43.36,-0.00369599,-0.0288,0.00389816,-0.027980145800606364
43.38,-0.00369599,-0.0280651,0.00461987,-0.02796689269300697
43.4,-0.00369599,-0.0264049,0.00622899,-0.027915985896527058
43.42,-0.00369599,-0.0270396,0.00560161,-0.027923169824010843
43.44,-0.00369599,-0.0274,0.00527745,-0.027959461043885817
43.46,-0.00371898,-0.0266209,0.00624787,-0.02815076042074542
43.48,-0.00379866,-0.0252,0.00835072,-0.02883270999364554
43.5,-0.00390132,-0.0256129,0.00884139,-0.029736299802404553
43.52,-0.00390132,-0.0260901,0.00837078,-0.02974283689991327
43.54,-0.00390132,-0.0269891,0.0074908,-0.029761925224638733
43.56,-0.00390132,-0.0284968,0.0059591,-0.029737868705806643
43.58,-0.00390132,-0.029359,0.00507827,-0.029719303348881877
43.6,-0.00390132,-0.0294781,0.00501026,-0.0297702927094499
43.62,-0.00390132,-0.0311114,0.00338309,-0.029776437581108095
43.64,-0.00390132,-0.0316,0.00278217,-0.02966413024590827
43.66,-0.00390132,-0.0313104,0.00305898,-0.02965131753479118
43.68,-0.00391942,-0.0303648,0.00424357,-0.029890371266007805
43.7,-0.00400399,-0.0302106,0.00516466,-0.030657257254930424
43.72,-0.00400399,-0.0300695,0.00527814,-0.030629615621289033
43.74,-0.00410666,-0.029106,0.00708539,-0.03147352534418297
43.76,-0.00412431,-0.0291032,0.00732722,-0.031712418118859435
43.78,-0.00420932,-0.0304092,0.00680351,-0.03249464430489082
43.8,-0.00420932,-0.0316,0.00556484,-0.03244682366454696
43.82,-0.00420932,-0.0315603,0.00556367,-0.032405915152158404
43.84,-0.00420932,-0.0311259,0.00597669,-0.032384614512949196
43.86,-0.00420932,-0.0320806,0.00506772,-0.03243031919575571
43.88,-0.00420932,-0.0324469,0.00467693,-0.032405774088322584
43.9,-0.00420932,-0.0328,0.00429618,-0.032378125576501354
43.92,-0.00420932,-0.0321213,0.00499049,-0.03239378366227766
43.94,-0.00420932,-0.0320853,0.00506786,-0.03243511536617368
43.96,-0.00420932,-0.0326467,0.00453938,-0.032467983239920346
43.98,-0.00420932,-0.0328,0.0042938,-0.032375727491292375
44.0,-0.00421745,-0.0325683,0.0045738,-0.03242405172007401
44.02,-0.00431199,-0.0317593,0.00627336,-0.033314743351858744
44.04,-0.00431199,-0.0316437,0.00641819,-0.03334393327740897
44.06,-0.00431199,-0.0321056,0.00592829,-0.033315899388514196
44.08,-0.00431199,-0.0315612,0.00642486,-0.03326806837189475
44.1,-0.00431199,-0.0308,0.00724495,-0.03332702624132294
44.12,-0.00431199,-0.031282,0.00675073,-0.033314743351858744
