t_s,delta_road_rad,v_mps,yaw_rate_pred_rads,yaw_rate_meas_rads,yaw_rate_resid_rads
6.24,0.000307999,9.93884,0.014437631119215704,0.0149914,0.0139655
6.26,0.000307999,9.92517,0.014437254485926615,0.0150094,0.0139849
6.28,0.000307999,9.95431,0.014438056678032449,0.0153674,0.01434
6.3,0.000307999,9.98792,0.01443897868241871,0.0152104,0.0141795
6.32,0.000307999,9.9779,0.014438704156294559,0.0148047,0.0137748
6.34,0.000307999,9.98572,0.017255344592436724,0.0143907,0.01336
6.36,0.000213147,9.95148,0.016964913492010007,0.014,0.0132892
6.38,0.000205333,9.97581,0.016941030699086812,0.0134258,0.0127394
6.4,0.000205333,9.96419,0.01412462100861753,0.0124151,0.0117294
6.42,0.000205333,9.96113,0.014124625301481706,0.0122,0.0115146
6.44,0.000205333,9.98893,0.014124585581738142,0.0120069,0.0113196
6.46,0.000205333,9.99158,0.014124581707265533,0.0120123,0.0113247
6.48,0.000205333,9.99433,0.014124577679657961,0.0122,0.0115123
6.5,0.000205333,10.0025,0.014124565593477741,0.0122,0.0115117
6.52,0.000205333,10.0055,0.014124561139480652,0.0127799,0.0120914
6.54,0.000205333,10.0194,0.01694096639393829,0.0132,0.0125106
6.56,0.000102666,10.0582,0.0166244871388274,0.0131988,0.0128527
6.58,0.000102666,10.0343,0.01662521252480532,0.0137852,0.01344
6.6,9.91411e-05,10.0443,0.016614059121190617,0.0135725,0.0132388
6.62,0.0,10.0389,0.01630921263083039,0.0120177,0.0120177
6.64,0.0,10.0114,0.013494412450109992,0.0122153,0.0122153
6.66,0.0,10.0351,0.013493011135308309,0.0129844,0.0129844
6.68,0.0,10.0334,0.013493111651559907,0.0128,0.0128
6.7,0.0,10.0168,0.013494093163193154,0.0124,0.0124
6.72,0.0,10.0329,0.013493141215163318,0.0131797,0.0131797
6.74,0.0,10.0472,0.013492295696105761,0.0125996,0.0125996
6.76,0.0,10.0584,0.013491633471389354,0.0130016,0.0130016
6.78,0.0,10.0844,0.01349009616401198,0.0130239,0.0130239
6.8,0.0,10.0585,0.013491627558668671,0.0121948,0.0121948
6.82,0.0,10.0855,0.013490031124084475,0.0114092,0.0114092
6.84,0.0,10.0972,0.013489339335764657,0.0112034,0.0112034
6.86,0.0,10.0972,0.013489339335764657,0.0122,0.0122
6.88,0.0,10.092,0.013489646797240133,0.0123753,0.0123753
6.9,0.0,10.0971,0.01348934524848534,0.0131792,0.0131792
6.92,0.0,10.1083,0.013488683023768933,0.0129987,0.0129987
6.94,0.0,10.1094,0.013488617983841426,0.0127793,0.0127793
6.96,0.0,10.1464,0.01348643027718901,0.0118273,0.0118273
6.98,0.0,10.1555,0.010669466040698922,0.0108021,0.0108021
7.0,0.000101795,10.1417,0.010986391034719259,0.0111966,0.0108506
7.02,0.000102666,10.1417,0.010989095785589122,0.0114,0.0110511
7.04,0.000102666,10.1665,0.013804766480133991,0.0117935,0.0114438
7.06,0.000102666,10.1556,0.01380509861850393,0.0118,0.0114506
7.08,0.000102666,10.1529,0.013805180852841105,0.0121895,0.0118402
7.1,0.000102666,10.1664,0.013804769539084829,0.0122,0.0118502
7.12,0.000102666,10.1473,0.0138053514424141,0.0122,0.0118509
7.14,0.000102666,10.1616,0.01380491579508893,0.0125923,0.0122427
7.16,0.000102666,10.1853,0.010987767190182695,0.0120228,0.0116724
7.18,0.000205333,10.1757,0.011307851187693077,0.0122,0.0114998
7.2,0.000205333,10.1805,0.014124268480579743,0.0122,0.0114995
7.22,0.000205333,10.2082,0.011307790180451773,0.0122,0.0114976
7.24,0.000307999,10.167,0.011627406186260555,0.012795,0.0117456
7.26,0.000307999,10.1961,0.011628185454214493,0.0124134,0.011361
7.28,0.000407006,10.189,0.011936753878260287,0.0122,0.0108103
7.3,0.000410666,10.1613,0.011946631961461443,0.0122,0.0108016
7.32,0.000410666,10.1725,0.014763679499898798,0.0118,0.0104
7.34,0.000410666,10.1996,0.014765180688280857,0.0118,0.0103963
7.36,0.000410666,10.2164,0.014766109895602574,0.0123945,0.0109885
7.38,0.000410666,10.1888,0.011948156590456484,0.0126,0.0111978
7.4,0.000513332,10.1833,0.012267857870070781,0.0134051,0.0116533
7.42,0.000513332,10.1833,0.015084284048978786,0.0136,0.0118482
7.44,0.000513332,10.1924,0.01508504850415523,0.0132,0.0114466
7.46,0.000513332,10.2349,0.015088613636149809,0.0135796,0.0118189
7.48,0.000513332,10.195,0.015085266865877517,0.0136,0.0118462
7.5,0.000513332,10.1779,0.015083830151253513,0.0141962,0.0124453
7.52,0.000513332,10.1918,0.015084998145780362,0.0146,0.0128467
7.54,0.000513332,10.1999,0.015085678352573018,0.0144051,0.0126504
7.56,0.000513332,10.2054,0.015086140103717775,0.0143919,0.0126363
7.58,0.000513332,10.2166,0.01508707978048935,0.015,0.0132424
7.6,0.000513332,10.2361,0.015088714188490072,0.0155835,0.0138226
7.62,0.000513332,10.2361,0.015088714188490072,0.0142397,0.0124788
7.64,0.000513332,10.2306,0.015088253339354691,0.013998,0.012238
7.66,0.000513332,10.2526,0.015090095575534365,0.0136073,0.0118435
7.68,0.000513332,10.2608,0.015090781607690652,0.0122449,0.0104797
7.7,0.000513332,10.2393,0.015088982189314475,0.0122,0.0104386
7.72,0.000513332,10.2581,0.012274129598393803,0.0122,0.0104353
